metric,bin_v,cnt
age_5y,0,2130
age_5y,5,3589
age_5y,10,2548
age_5y,15,3059
age_5y,20,2629
age_5y,25,1673
age_5y,30,1044
age_5y,35,2022
age_5y,40,2607
age_5y,45,1704
age_5y,50,984
age_5y,55,141
age_5y,60,3
age_5y,65,1
age_5y,70,1
area_5sqm,15,114
area_5sqm,20,845
area_5sqm,25,1547
area_5sqm,30,585
area_5sqm,35,550
area_5sqm,40,439
area_5sqm,45,749
area_5sqm,50,781
area_5sqm,55,1511
area_5sqm,60,2361
area_5sqm,65,3521
area_5sqm,70,3634
area_5sqm,75,2932
area_5sqm,80,1814
area_5sqm,85,1255
area_5sqm,90,713
area_5sqm,95,489
area_5sqm,100,279
area_5sqm,105,171
area_5sqm,110,70
area_5sqm,115,79
area_5sqm,120,52
area_5sqm,125,36
area_5sqm,130,27
area_5sqm,135,13
area_5sqm,140,7
area_5sqm,145,3
area_5sqm,150,4
area_5sqm,155,4
area_5sqm,160,4
area_5sqm,165,5
area_5sqm,170,3
area_5sqm,175,2
area_5sqm,190,1
area_5sqm,200,13
pps_10man,0,75
pps_10man,1,1199
pps_10man,2,3150
pps_10man,3,3843
pps_10man,4,3911
pps_10man,5,3220
pps_10man,6,2890
pps_10man,7,1668
pps_10man,8,1273
pps_10man,9,859
pps_10man,10,698
pps_10man,11,460
pps_10man,12,330
pps_10man,13,247
pps_10man,14,198
pps_10man,15,117
pps_10man,16,125
pps_10man,17,79
pps_10man,18,63
pps_10man,19,14
pps_10man,20,62
pps_10man,21,35
pps_10man,22,16
pps_10man,23,22
pps_10man,24,11
pps_10man,25,11
pps_10man,26,11
pps_10man,27,5
pps_10man,28,3
pps_10man,29,1
pps_10man,30,17
price_500man,0,344
price_500man,1,1586
price_500man,2,2193
price_500man,3,3013
price_500man,4,2281
price_500man,5,2343
price_500man,6,2258
price_500man,7,1979
price_500man,8,1696
price_500man,9,1266
price_500man,10,988
price_500man,11,798
price_500man,12,663
price_500man,13,553
price_500man,14,434
price_500man,15,374
price_500man,16,302
price_500man,17,257
price_500man,18,232
price_500man,19,170
price_500man,20,110
price_500man,22,150
price_500man,24,137
price_500man,26,115
price_500man,28,78
price_500man,30,55
price_500man,32,49
price_500man,34,43
price_500man,36,21
price_500man,38,27
price_500man,40,98
walk_1min,1,2027
walk_1min,2,2175
walk_1min,3,2640
walk_1min,4,2920
walk_1min,5,3648
walk_1min,6,2500
walk_1min,7,2227
walk_1min,8,1706
walk_1min,9,1279
walk_1min,10,1096
walk_1min,11,530
walk_1min,12,471
walk_1min,13,267
walk_1min,14,165
walk_1min,15,123
walk_1min,16,58
walk_1min,17,48
walk_1min,18,21
walk_1min,19,11
walk_1min,20,8
walk_1min,22,2
walk_1min,23,1
walk_1min,29,1
